"mukey","cokey","comppct_r","compname"
461598,14397864,2,"Balcom"
461598,14397865,3,"Capay"
461598,14397866,2,"Millsholm"
461598,14397867,1,"Unnamed"
461598,14397868,1,"Rock outcrop"
461598,14397869,7,"Contra Costa"
461597,14397854,85,"Ayar"
461597,14397855,4,"Altamont"
461597,14397856,3,"Capay"
461597,14397857,3,"Balcom"
461597,14397858,3,"Millsholm"
461597,14397859,1,"Hillgate"
461597,14397860,1,"Unnamed"
461596,14397847,4,"Capay"
461596,14397848,85,"Ayar"
461596,14397849,5,"Altamont"
461596,14397850,1,"Unnamed"
461596,14397851,1,"Hillgate"
461596,14397852,2,"Balcom"
461596,14397853,2,"Millsholm"
461595,14397843,85,"Corval"
461595,14397844,6,"Vina"
461595,14397845,1,"Unnamed"
461595,14397846,8,"Mallard"
461594,14397839,85,"Corval"
461594,14397840,9,"Vina"
461594,14397841,5,"Arand"
461594,14397842,1,"Unnamed"
461593,14397834,90,"Capay"
461593,14397835,2,"Altamont"
461593,14397836,5,"Capay"
461593,14397837,2,"Clear Lake"
461593,14397838,1,"Unnamed"
461592,14397829,90,"Capay"
461592,14397830,1,"Unnamed"
461592,14397831,2,"Altamont"
461592,14397832,5,"Capay"
461592,14397833,2,"Clear Lake"
461591,14397824,90,"Capay"
461591,14397825,5,"Capay"
461591,14397826,2,"Clear Lake"
461591,14397827,2,"Altamont"
461591,14397828,1,"Unnamed"
461589,14397818,80,"Westfan"
461589,14397819,5,"Arand"
461589,14397820,4,"Mallard"
461589,14397821,1,"Unnamed"
461589,14397822,5,"Westfan"
461589,14397823,5,"Westfan"
461588,14397814,85,"Arand"
461588,14397815,2,"Riverwash"
461588,14397816,1,"Unnamed"
461588,14397817,12,"Arbuckle"
461587,14397809,85,"Arand"
461587,14397810,10,"Westfan"
461587,14397811,2,"Arbuckle"
461587,14397812,2,"Riverwash"
461587,14397813,1,"Unnamed"
461586,14397803,80,"Westfan"
461586,14397804,10,"Westfan"
461586,14397805,1,"Unnamed"
461586,14397806,2,"Arand"
461586,14397807,2,"Mallard"
461586,14397808,5,"Westfan"
461585,14397799,7,"Westfan"
461585,14397800,7,"Capay"
461585,14397801,1,"Unnamed"
461585,14397802,85,"Westfan"
461584,14397797,95,"Riverwash"
461584,14397798,5,"Tujunga"
461583,14397794,85,"Tujunga"
461583,14397795,10,"Riverwash"
461583,14397796,5,"Unnamed"
461582,14397789,85,"Vina"
461582,14397790,10,"Tujunga"
461582,14397791,2,"Moonbend"
461582,14397792,2,"Corbiere"
461582,14397793,1,"Unnamed"
461581,14397784,80,"Vina"
461581,14397785,10,"Tujunga"
461581,14397786,6,"Moonbend"
461581,14397787,1,"Unnamed"
461581,14397788,3,"Corbiere"
461579,14397780,80,"Vina"
461579,14397781,8,"Moonbend"
461579,14397782,10,"Tujunga"
461579,14397783,2,"Unnamed"
461578,14397775,80,"Grandbend"
461578,14397776,10,"Vina"
461578,14397777,5,"Corbiere"
461578,14397778,1,"Unnamed"
461578,14397779,4,"Moonbend"
461577,14397770,3,"Alcapay"
461577,14397771,2,"Hillgate"
461577,14397772,4,"Capay"
461577,14397773,1,"Unnamed"
461577,14397774,90,"Alcapay"
461576,14397764,85,"Arbuckle"
461576,14397765,2,"Arbuckle"
461576,14397766,7,"Hillgate"
461576,14397767,3,"Arand"
461576,14397768,1,"Unnamed"
461576,14397769,2,"Riverwash"
461575,14397758,5,"Westfan"
461575,14397759,3,"Arand"
461575,14397760,1,"Unnamed"
461575,14397761,50,"Arbuckle"
461575,14397762,40,"Hillgate"
461575,14397763,1,"Riverwash"
461574,14397753,85,"Arbuckle"
461574,14397754,4,"Arand"
461574,14397755,9,"Westfan"
461574,14397756,1,"Unnamed"
461574,14397757,1,"Riverwash"
461573,14397748,90,"Hillgate"
461573,14397749,5,"Arbuckle"
461573,14397750,2,"Arand"
461573,14397751,1,"Unnamed"
461573,14397752,2,"Westfan"
461571,14397743,85,"Hillgate"
461571,14397744,3,"Arand"
461571,14397745,1,"Riverwash"
461571,14397746,10,"Capay"
461571,14397747,1,"Unnamed"
461570,14397738,90,"Myers"
461570,14397739,2,"Westfan"
461570,14397740,2,"Arbuckle"
461570,14397741,5,"Capay"
461570,14397742,1,"Unnamed"
461569,14397733,85,"Colusa"
461569,14397734,3,"Corbiere"
461569,14397735,6,"Moonbend"
461569,14397736,1,"Unnamed"
461569,14397737,5,"Vina"
461568,14397729,85,"Corbiere"
461568,14397730,8,"Moonbend"
461568,14397731,5,"Willows"
461568,14397732,2,"Unnamed"
461567,14397725,85,"Corbiere"
461567,14397726,8,"Moonbend"
461567,14397727,5,"Willows"
461567,14397728,2,"Unnamed"
461566,14397721,85,"Corbiere"
461566,14397722,8,"Moonbend"
461566,14397723,5,"Willows"
461566,14397724,2,"Unnamed"
461565,14397717,10,"Westfan"
461565,14397718,1,"Unnamed"
461565,14397719,85,"Mallard"
461565,14397720,4,"Capay"
461564,14397713,85,"Mallard"
461564,14397714,4,"Capay"
461564,14397715,10,"Westfan"
461564,14397716,1,"Unnamed"
461563,14397709,85,"Mallard"
461563,14397710,1,"Unnamed"
461563,14397711,7,"Westfan"
461563,14397712,7,"Capay"
461562,14397705,80,"Moonbend"
461562,14397706,5,"Riverwash"
461562,14397707,5,"Tujunga"
461562,14397708,10,"Vina"
461561,14397699,80,"Moonbend"
461561,14397700,2,"Willows"
461561,14397701,6,"Scribner"
461561,14397702,1,"Unnamed"
461561,14397703,10,"Vina"
461561,14397704,1,"Colusa"
461560,14397694,80,"Moonbend"
461560,14397695,5,"Willows"
461560,14397696,10,"Corbiere"
461560,14397697,4,"Scribner"
461560,14397698,1,"Unnamed"
461558,14397689,2,"Scribner"
461558,14397690,4,"Willows"
461558,14397691,2,"Unnamed"
461558,14397692,2,"Mallard"
461558,14397693,90,"Clear Lake"
461557,14397686,90,"Clear Lake"
461557,14397687,8,"Willows"
461557,14397688,2,"Unnamed"
461555,14397681,10,"Westfan"
461555,14397682,4,"Mallard"
461555,14397683,1,"Unnamed"
461555,14397684,80,"Westfan"
461555,14397685,5,"Capay"
461554,14397676,10,"Westfan"
461554,14397677,2,"Mallard"
461554,14397678,85,"Westfan"
461554,14397679,2,"Willows"
461554,14397680,1,"Unnamed"
461553,14397671,5,"Hustabel"
461553,14397672,80,"Westfan"
461553,14397673,4,"Westfan"
461553,14397674,10,"Mallard"
461553,14397675,1,"Unnamed"
461552,14397666,80,"Hustabel"
461552,14397667,1,"Unnamed"
461552,14397668,2,"Mallard"
461552,14397669,7,"Westfan"
461552,14397670,10,"Westfan"
461551,14397662,80,"Scribner"
461551,14397663,10,"Willows"
461551,14397664,2,"Unnamed"
461551,14397665,8,"Vina"
461550,14397658,80,"Scribner"
461550,14397659,10,"Vina"
461550,14397660,8,"Corbiere"
461550,14397661,2,"Unnamed"
461549,14397654,80,"Scribner"
461549,14397655,10,"Vina"
461549,14397656,8,"Corbiere"
461549,14397657,2,"Unnamed"
461548,14397649,90,"Willows"
461548,14397650,1,"Scribner"
461548,14397651,2,"Unnamed"
461548,14397652,5,"Capay"
461548,14397653,2,"Willows"
461547,14397644,90,"Willows"
461547,14397645,1,"Scribner"
461547,14397646,2,"Unnamed"
